"ID","X","Y","Z"
297,3405.188,4493.369,4155.5
297,3412.576,4509.666,4155.5
298,3573.541,5524.364,3960.5
298,3564.226,5508.24,3960.5
298,3560.987,5491.911,3960.5
298,3554.672,5489.319,3960.5
298,3560.331,5467.214,3960.5
298,3582.575,5491.057,3960.5
299,4274.775,6245.462,4275.5
299,4273.879,6240.79,4275.5
299,4293.029,6238.353,4275.5
299,4293.57,6241.422,4275.5
300,3704.001,5650.439,3945.5
300,3713.043,5645.79,3945.5
300,3725.438,5651.117,3945.5
300,3733.356,5643.6,3945.5
300,3721.346,5631.356,3945.5
300,3693.849,5639.117,3945.5
301,3411.149,6354.333,4575.5
301,3420.917,6349.594,4575.5
301,3396.773,6332.04,4575.5
301,3393.477,6343.765,4575.5
302,3140.015,4892.955,4035.5
302,3152.564,4884.474,4035.5
302,3164.379,4869.681,4035.5
302,3140.023,4871.688,4035.5
302,3129.305,4882.383,4035.5
303,3178.456,4874.923,4035.5
303,3189.448,4865.07,4035.5
303,3187.474,4853.317,4035.5
303,3168.479,4860.051,4035.5
304,3617.142,5624.624,3960.5
304,3629.011,5635.729,3960.5
304,3637.382,5643.546,3960.5
304,3649.571,5652.784,3960.5
304,3646.62,5654.925,3960.5
304,3625.506,5639.105,3960.5
304,3614.611,5627.409,3960.5
305,3642.814,5617.538,3960.5
305,3670.105,5593.22,3960.5
305,3659.031,5584.918,3960.5
305,3610.201,5561.101,3960.5
305,3573.541,5524.364,3960.5
305,3569.987,5537.464,3960.5
306,2677.805,4475.42,4159
306,2668.397,4471.785,4159
306,2654.562,4462.423,4159
306,2652.717,4458.523,4159
306,2702.372,4462.653,4159
306,2690.407,4481.255,4159
306,2683.681,4478.596,4159
307,4116.192,5430.583,3885.5
307,4117.469,5429.369,3885.5
307,4115.015,5482.314,3885.5
307,4110.522,5482.078,3885.5
307,4111.698,5473.497,3885.5
307,4111.597,5455.119,3885.5
307,4110.89,5445.325,3885.5
308,3741.375,5585.1,3945.5
308,3774.082,5589.096,3945.5
308,3789.392,5574.542,3945.5
308,3757.465,5538.721,3945.5
308,3747.314,5528.49,3945.5
308,3723.207,5533.539,3945.5
308,3716.126,5543.527,3945.5
308,3739.347,5571.52,3945.5
309,3723.207,5533.539,3945.5
309,3716.126,5543.527,3945.5
309,3739.347,5571.52,3945.5
309,3728.308,5579.476,3945.5
309,3716.955,5567.893,3945.5
309,3703.778,5559.148,3945.5
309,3710.852,5536.126,3945.5
310,4483.803,5141.493,4260.5
310,4480.112,5141.435,4260.5
310,4479.868,5136.723,4260.5
310,4483.688,5136.745,4260.5
311,3127.099,4916.36,4035.5
311,3132.065,4910.142,4035.5
311,3122.372,4896.49,4035.5
311,3117,4899.841,4035.5
312,4745.229,5988.482,4305.5
312,4753.301,5974.565,4305.5
312,4774.295,5947.41,4305.5
312,4772.063,5945.13,4305.5
312,4755.804,5960.994,4305.5
312,4734.785,5973.762,4305.5
312,4714.152,5983.083,4305.5
312,4710.133,5992.128,4305.5
312,4703.265,6003.685,4305.5
312,4694.767,6010.798,4305.5
312,4702.288,6016.206,4305.5
312,4706.497,6010.767,4305.5
312,4726.13,5978.816,4305.5
313,3129.916,6402.602,4590.5
313,3132.348,6396.683,4590.5
313,3123.74,6391.533,4590.5
313,3118.542,6388.21,4590.5
313,3118.465,6394.874,4590.5
314,3202.142,6377.33,4590.5
314,3208.351,6371.883,4590.5
314,3218.15,6371.859,4590.5
314,3217.712,6365.896,4590.5
314,3209.607,6366.673,4590.5
314,3201.45,6367.746,4590.5
314,3195.497,6370.444,4590.5
315,3964.641,5761.464,3945.5
315,3941.101,5785.896,3945.5
315,3935.979,5805.729,3945.5
315,3934.447,5811.67,3945.5
315,3972.01,5818.486,3945.5
315,3986.961,5803.478,3945.5
315,3977.97,5794.372,3945.5
315,4002.988,5769.455,3945.5
315,3994.92,5755.239,3945.5
316,4143.43,4649.7,4260.5
316,4145.842,4647.347,4260.5
316,4121.764,4623.941,4260.5
316,4117.409,4623.953,4260.5
317,4728.938,5508.421,4260.5
317,4732.846,5507.446,4260.5
317,4737.4,5523.534,4260.5
317,4733.106,5525.128,4260.5
318,3990.642,5807.294,3945.5
318,3986.961,5803.478,3945.5
318,3977.97,5794.372,3945.5
318,4002.988,5769.455,3945.5
318,4014.976,5780.536,3945.5
319,4608.709,5171.372,4260.5
319,4621.527,5171.282,4260.5
319,4618.969,5155.925,4260.5
319,4612.501,5140.622,4260.5
319,4597.534,5126.428,4260.5
319,4593.519,5130.895,4260.5
319,4606.365,5162.106,4260.5
320,3380.351,5105.075,4005.5
320,3392.549,5093.182,4005.5
320,3416.794,5118.429,4005.5
320,3408.776,5133.467,4005.5
321,3368.771,4990.967,4020.5
321,3358.606,5002.957,4020.5
321,3369.842,5016.539,4020.5
321,3381.076,5007.767,4020.5
322,4456.892,6206.371,4275.5
322,4456.259,6201.944,4275.5
322,4465.277,6201.152,4275.5
322,4483.668,6199.65,4275.5
322,4484.142,6201.747,4275.5
323,3782.489,5778.501,3945.5
323,3803.626,5761.52,3945.5
323,3812.235,5771.133,3945.5
323,3822.416,5782.501,3945.5
323,3833.164,5794.503,3945.5
323,3830.51,5800.28,3945.5
323,3806.218,5805.003,3945.5
324,4000.611,5635.932,3960.5
324,3987.006,5625.178,3960.5
324,3982.8,5619.975,3960.5
324,3985.537,5617.23,3960.5
324,3999.547,5634.415,3960.5
325,3132.065,4910.142,4035.5
325,3122.372,4896.49,4035.5
325,3117,4899.841,4035.5
325,3109.302,4887.246,4035.5
325,3129.168,4861.92,4035.5
325,3187.474,4853.317,4035.5
325,3168.479,4860.051,4035.5
325,3164.379,4869.681,4035.5
325,3140.023,4871.688,4035.5
325,3129.305,4882.383,4035.5
325,3143.245,4896.144,4035.5
326,3368.771,4990.967,4020.5
326,3346.48,4960.535,4020.5
326,3321.773,4959.221,4020.5
326,3293.979,4976.793,4020.5
326,3309.037,4993.985,4020.5
326,3320.269,4988.356,4020.5
326,3329.083,4997.169,4020.5
326,3343.438,4984.619,4020.5
326,3358.606,5002.957,4020.5
327,4074.046,5461.143,3885.5
327,4072.045,5454.5,3885.5
327,4072.178,5439.385,3885.5
327,4070.321,5431.502,3885.5
327,4075.68,5424.23,3885.5
328,3114.151,6198.258,4560.5
328,3118.651,6197.477,4560.5
328,3112.215,6188.551,4560.5
329,4117.63,5425.874,3885.5
329,4113.999,5406.117,3885.5
329,4083.72,5372.744,3885.5
329,4082.564,5373.722,3885.5
329,4112.642,5406.684,3885.5
329,4116.678,5425.836,3885.5
330,4778.04,5444.898,4260.5
330,4750.962,5451.798,4260.5
330,4748.237,5444.091,4260.5
330,4754.638,5441.767,4260.5
330,4764.636,5435.572,4260.5
330,4768.875,5420.792,4260.5
330,4765.071,5404.6,4260.5
330,4757.355,5375.691,4260.5
330,4752.139,5366.019,4260.5
330,4743.01,5354.608,4260.5
330,4740.728,5350.044,4260.5
330,4739.098,5344.61,4260.5
330,4734.207,5330.373,4260.5
330,4725.527,5330.13,4260.5
330,4725.437,5320.51,4260.5
330,4748.676,5327.127,4260.5
331,3231.826,5169.202,4050.5
331,3260.684,5148.075,4050.5
331,3253.912,5138.214,4050.5
331,3224.739,5158.915,4050.5
332,3605.407,5593.887,3960.5
332,3593.762,5582.281,3960.5
332,3576.49,5562.933,3960.5
332,3544.138,5530.467,3960.5
332,3554.672,5489.319,3960.5
332,3560.987,5491.911,3960.5
332,3564.226,5508.24,3960.5
332,3573.541,5524.364,3960.5
332,3569.987,5537.464,3960.5
332,3636.823,5610.951,3960.5
332,3627.228,5613.528,3960.5
332,3617.285,5603.56,3960.5
332,3603.794,5615.628,3960.5
332,3594.101,5604.678,3960.5
333,4501.428,6025.59,4260.5
333,4527.544,5996.803,4260.5
333,4563.75,5945.463,4260.5
333,4577.104,5928.25,4260.5
333,4568.177,5891.854,4260.5
333,4517.251,5888.685,4260.5
333,4498.524,5915.187,4260.5
333,4496.159,5919.634,4260.5
333,4479.372,5951.204,4260.5
333,4452.039,5979.378,4260.5
333,4489.424,5987.428,4260.5
334,2956.449,6152.595,4560.5
334,2958.547,6146.061,4560.5
334,2964.973,6152.546,4560.5
334,2971.205,6159.965,4560.5
334,2982.469,6173.426,4560.5
334,3014.475,6213.502,4560.5
334,3011.796,6216.187,4560.5
334,3000.976,6205.125,4560.5
335,3648.271,5279.508,3975.5
335,3646.017,5276.008,3975.5
335,3656.251,5269.267,3975.5
335,3660.404,5271.693,3975.5
335,3655.662,5274.541,3975.5
336,4873.25,5643.299,4275.5
336,4876.644,5643.738,4275.5
336,4882.886,5563.212,4275.5
336,4880.057,5563.315,4275.5
336,4879.632,5569.527,4275.5
336,4879.692,5576.322,4275.5
336,4879.571,5592.61,4275.5
336,4876.532,5610.965,4275.5
337,3230.517,4629.748,4155.5
337,3228.358,4628.582,4155.5
337,3248.339,4612.721,4155.5
337,3251.465,4613.735,4155.5
338,4023.222,5508.808,3885.5
338,4012.984,5497.54,3885.5
338,4011.477,5499.043,3885.5
338,4025.232,5520.556,3885.5
338,4032.039,5513.669,3885.5
339,3697.418,5298.19,3960.5
339,3694.413,5294.848,3960.5
339,3673.906,5308.042,3960.5
339,3677.187,5315.123,3960.5
340,3576.49,5562.933,3960.5
340,3544.138,5530.467,3960.5
340,3540.61,5544.251,3960.5
340,3565.819,5572.729,3960.5
341,3277.901,5186.122,4065.5
341,3290.616,5130.067,4065.5
341,3286.48,5127.131,4065.5
341,3253.603,5149.534,4065.5
342,3177.633,4924.636,4035.5
342,3173.184,4937.37,4035.5
342,3194.629,4937.163,4035.5
342,3198.907,4924.954,4035.5
342,3182.189,4907.131,4035.5
342,3162.385,4915.063,4035.5
343,3864.364,5576.311,3945.5
343,3850.397,5560.763,3945.5
343,3845.233,5566.364,3945.5
343,3852.414,5572.803,3945.5
343,3857.734,5583.993,3945.5
343,3859.042,5591.768,3945.5
