"EAST","NORTH","ELEV","AREA","CU","ZN","MO","FE"
3493.57,5136.87,3990.5,94,0.3,0.03,0.08,7.88
3497.1,5133.34,3990.5,94,0.29,0.03,0.084,6.06
3500.64,5129.8,3990.5,94,0.36,0.03,0.094,4.97
3504.17,5126.27,3990.5,94,0.42,0.05,0.104,4.85
3507.71,5122.73,3990.5,94,0.39,0.07,0.115,2.83
3511.24,5119.2,3990.5,94,0.13,0.04,0.151,2.14
3444.07,5193.44,3990.5,476,1.75,9.79,0.003,17.11
3447.6,5189.91,3990.5,476,1.64,10.14,0.002,15.1
3451.14,5186.37,3990.5,476,1.62,6.19,0.004,17.87
3454.67,5182.84,3990.5,476,2.33,5.33,0.004,15.65
3458.21,5179.3,3990.5,476,2.99,5.55,0.006,14.13
3461.75,5175.77,3990.5,476,3.07,3.69,0.011,13.5
3465.28,5172.23,3990.5,476,2.89,1.3,0.011,14.46
3468.82,5168.69,3990.5,476,2.65,0.9,0.006,17.47
3472.35,5165.16,3990.5,366,2.24,0.67,0.007,19.86
3475.89,5161.62,3990.5,474,4.17,0.25,0.008,19.83
3479.42,5158.09,3990.5,474,0.65,0.12,0.023,13.48
3482.96,5154.55,3990.5,474,0.55,0.03,0.066,10.12
3486.49,5151.02,3990.5,474,0.53,0.03,0.15,7.42
3490.03,5147.48,3990.5,474,0.41,0.04,0.141,6.67
3493.57,5143.95,3990.5,474,0.34,0.03,0.141,6.33
3497.1,5140.41,3990.5,94,0.29,0.02,0.131,5.85
3500.64,5136.87,3990.5,94,0.29,0.03,0.127,5.23
3504.17,5133.34,3990.5,94,0.33,0.04,0.14,4.84
3507.71,5129.8,3990.5,94,0.39,0.06,0.138,4.19
3511.24,5126.27,3990.5,94,0.38,0.13,0.1,2.64
3514.78,5122.73,3990.5,94,0.13,0.07,0.11,1.3
3447.6,5196.98,3990.5,476,1.9,7.13,0.003,17.25
3451.14,5193.44,3990.5,476,1.89,5.08,0.003,14.98
3454.67,5189.91,3990.5,476,1.9,3.04,0.005,17.45
3458.21,5186.37,3990.5,476,2.4,4.18,0.005,15.8
3461.75,5182.84,3990.5,476,2.75,3.78,0.006,14.9
3465.28,5179.3,3990.5,476,2.77,1.52,0.009,17.66
3468.82,5175.77,3990.5,476,2.38,1.25,0.011,18.01
3472.35,5172.23,3990.5,474,2.1,0.75,0.011,18.63
3475.89,5168.69,3990.5,474,1.69,0.38,0.011,18.31
3479.42,5165.16,3990.5,474,0.98,0.14,0.018,10.25
3482.96,5161.62,3990.5,474,0.52,0.05,0.028,9.97
3486.49,5158.09,3990.5,474,0.44,0.03,0.052,8.31
3490.03,5154.55,3990.5,474,0.56,0.04,0.108,7.69
3493.57,5151.02,3990.5,474,0.41,0.04,0.156,6.45
3497.1,5147.48,3990.5,474,0.4,0.03,0.216,5.37
3500.64,5143.95,3990.5,94,0.33,0.02,0.229,4.34
3504.17,5140.41,3990.5,94,0.28,0.02,0.198,3.67
3507.71,5136.87,3990.5,94,0.31,0.04,0.187,3.56
3511.24,5133.34,3990.5,94,0.36,0.09,0.184,2.44
3514.78,5129.8,3990.5,94,0.38,0.17,0.125,2.23
3518.31,5126.27,3990.5,94,0.13,0.07,0.1,1.19
3451.14,5200.51,3990.5,476,1.83,4.06,0.004,17.3
3454.67,5196.98,3990.5,476,1.93,3.05,0.003,15.12
3458.21,5193.44,3990.5,476,2.19,2.77,0.005,17.11
3461.75,5189.91,3990.5,476,2.56,3.13,0.005,13
3465.28,5186.37,3990.5,476,2.69,2.87,0.006,12.91
3468.82,5182.84,3990.5,476,2.45,1.32,0.006,18.06
3472.35,5179.3,3990.5,476,1.95,0.95,0.008,18.71
3475.89,5175.77,3990.5,474,1.77,0.52,0.01,18.87
3479.42,5172.23,3990.5,474,1.86,0.23,0.015,19.69
3482.96,5168.69,3990.5,474,0.71,0.1,0.022,9.62
3486.49,5165.16,3990.5,474,0.51,0.04,0.026,7.55
3490.03,5161.62,3990.5,474,0.44,0.03,0.043,7.1
3493.57,5158.09,3990.5,474,0.45,0.04,0.087,7.16
3497.1,5154.55,3990.5,474,0.5,0.04,0.175,5.66
3500.64,5151.02,3990.5,474,0.43,0.03,0.24,5.06
3504.17,5147.48,3990.5,94,0.11,0.02,0.247,3.46
3507.71,5143.95,3990.5,94,0.27,0.02,0.221,2.05
3511.24,5140.41,3990.5,94,0.31,0.03,0.188,1.76
3514.78,5136.87,3990.5,94,0.33,0.1,0.179,1.83
3518.31,5133.34,3990.5,94,0.33,0.2,0.102,1.92
3521.85,5129.8,3990.5,94,0.12,0.08,0.089,1.21
3454.67,5204.05,3990.5,476,1.9,1.13,0.005,14.48
3458.21,5200.51,3990.5,476,1.99,2.93,0.004,14.98
3461.75,5196.98,3990.5,476,2.63,3.04,0.005,18.91
3465.28,5193.44,3990.5,476,2.53,3.03,0.005,16.43
3468.82,5189.91,3990.5,476,2.34,2.5,0.006,16.8
3472.35,5186.37,3990.5,476,2.04,1.96,0.006,20.87
3475.89,5182.84,3990.5,476,1.64,0.61,0.006,19.68
3479.42,5179.3,3990.5,474,1.79,0.28,0.01,18.61
3482.96,5175.77,3990.5,474,2.29,0.21,0.025,18.47
3486.49,5172.23,3990.5,474,0.44,0.05,0.039,9.44
3490.03,5168.69,3990.5,474,0.28,0.03,0.049,7.19
3493.57,5165.16,3990.5,474,0.4,0.03,0.051,6.83
3497.1,5161.62,3990.5,474,0.51,0.04,0.08,7.09
3500.64,5158.09,3990.5,474,0.66,0.04,0.115,5.62
3504.17,5154.55,3990.5,474,0.56,0.04,0.177,2.93
3507.71,5151.02,3990.5,474,0.11,0.02,0.202,1.2
3511.24,5147.48,3990.5,94,0.11,0.02,0.181,1.07
3514.78,5143.95,3990.5,94,0.12,0.03,0.13,0.97
3518.31,5140.41,3990.5,94,0.12,0.08,0.115,1.49
3521.85,5136.87,3990.5,94,0.38,0.17,0.083,3.88
3525.39,5133.34,3990.5,94,0.09,0.07,0.07,1.07
3458.21,5207.58,3990.5,476,1.84,1.16,0.017,14.31
3461.75,5204.05,3990.5,476,1.84,1.14,0.005,15.78
3465.28,5200.51,3990.5,476,2.54,3.66,0.005,19.68
3468.82,5196.98,3990.5,476,2.61,0.99,0.006,17.75
3472.35,5193.44,3990.5,476,2.32,1.08,0.007,18.12
3475.89,5189.91,3990.5,476,1.93,0.88,0.008,20.06
3479.42,5186.37,3990.5,476,1.61,0.58,0.009,18.63
3482.96,5182.84,3990.5,474,1.8,0.38,0.019,18.17
3486.49,5179.3,3990.5,474,2.32,0.2,0.043,15.95
3490.03,5175.77,3990.5,474,0.48,0.06,0.082,10.04
3493.57,5172.23,3990.5,474,0.3,0.03,0.081,7.45
3497.1,5168.69,3990.5,474,0.33,0.03,0.081,5.74
