"x","y","z","hora"
3930.6,5704.96,3937.79,11
3928.48,5717.12,3937.79,11
3926.4,5724.16,3937.9,11
3929.96,5717.12,3937.9,11
3928.26,5703.04,3937.78,11
3928.8,5704.96,3937.78,11
3928.48,5717.12,3937.78,11
3928.72,5716.48,3937.95,11
3922.04,5726.08,3937.95,11
3929.54,5712,3937.95,11
3929.86,5701.12,3937.77,11
3931.4,5698.56,3937.77,11
3915.42,5669.12,3937.77,11
3906.36,5669.76,3937.96,11
3918,5669.76,3937.96,11
3929.36,5697.92,3937.96,11
3929.52,5696,3937.65,11
3929.36,5697.92,3937.65,11
3929.68,5690.88,3937.65,11
3929.8,5691.52,3937.64,11
3926.72,5704.32,3937.68,11
3922.16,5676.8,3937.7,11
3925.32,5680,3937.7,11
3929.8,5691.52,3937.7,11
3929.96,5694.08,3937.68,11
3929.8,5691.52,3937.68,11
3929.52,5689.6,3937.68,11
3927.4,5683.2,3937.72,11
3922.28,5676.8,3937.72,11
3920.28,5704.32,3937.84,1
3922.3,5712,3937.84,1
3921.34,5706.88,3937.84,1
3921.78,5708.16,3937.78,1
3890.08,5665.28,3937.59,1
3892.7,5666.56,3937.59,1
3893.24,5667.2,3937.59,1
3885.1,5663.36,3937.55,1
3888.54,5664.64,3937.55,1
3898.6,5672.32,3937.61,1
3891.64,5665.92,3937.61,1
3894.52,5669.76,3937.52,1
3889.84,5666.56,3937.48,1
3894.52,5669.76,3937.48,1
3874.8,5665.28,3937.48,1
3882.36,5664.64,3937.52,1
3879.88,5667.2,3937.52,1
3885.4,5667.84,3937.52,1
3888.4,5669.12,3937.52,1
3891.16,5667.84,3937.53,1
3875.76,5667.2,3937.51,1
3880.74,5667.2,3937.51,1
3885.6,5667.84,3937.51,1
3889.32,5669.12,3937.51,1
3894.6,5672.96,3937.51,1
3864.18,5676.8,3937.51,1
3887.56,5668.48,3937.52,1
3887.24,5670.4,3937.55,1
3890.76,5672.32,3937.55,1
3893.56,5674.24,3937.55,1
3883.88,5671.68,3937.53,1
3779.72,5596.16,3937.72,8
3773.28,5597.44,3937.53,8
3771.38,5603.84,3937.53,8
3768.56,5616,3937.9,8
3772.36,5601.28,3937.9,8
3773.58,5598.72,3937.9,8
3772.62,5600,3937.9,8
3777.32,5596.8,3937.9,8
3773.28,5600.64,3938.23,8
3772.7,5602.56,3938.23,8
