ID,X,Y,Z,name,material
279,3594.120,5458.605,3960.500,01/05,M1
280,4157.523,4661.699,4260.500,04/02,C
281,3794.717,5511.297,3945.499,11/04,M1
282,3492.908,5134.123,4005.500,05/01,M2
283,5071.423,5471.675,4410.500,08/01,C
284,3745.221,5686.233,3945.500,03/07,M1
285,3154.509,4949.481,4035.500,12/06,M5
286,3571.988,5359.397,3975.500,03/03,A
287,3233.005,6077.243,4575.500,17/03,A
288,4178.637,4682.411,4260.500,04/03,A
289,3183.142,6013.681,4575.500,17/01,A
290,3239.150,6368.877,4590.500,18/03,A
291,3977.225,5439.160,3885.500,14/08,M1
292,3175.525,6236.671,4560.500,14/05,B
293,3865.045,5603.948,3945.500,10/05,M1
294,3894.715,5212.554,3930.500,01/02,A
295,4532.945,5179.743,4260.500,30/08,M2A
296,3077.547,6365.067,4590.500,33/07,C
297,3395.635,4494.453,4155.500,23/02,M6
298,3568.623,5495.789,3960.500,06/01,M1
299,4283.724,6241.908,4275.500,27/04,M4B
300,3713.603,5641.237,3945.500,03/04,A
301,3407.197,6343.187,4575.500,21/03,C
302,3146.842,4881.318,4035.500,15/04,M2A
303,3178.964,4864.120,4035.500,09/04,M6
304,3632.091,5639.774,3960.500,09/02,M4B
305,3620.046,5570.951,3960.500,06/02,A
306,2677.545,4469.889,4159.000,02/11,M4B
307,4113.995,5455.842,3885.500,12/03,A
308,3752.759,5558.793,3945.500,01/03,M1
309,3721.562,5556.508,3945.500,01/01,A
310,4481.835,5139.108,4260.500,30/05,A
311,3124.533,4906.425,4035.500,15/07,A
312,4734.531,5980.668,4305.500,06/02,A
313,3125.406,6395.406,4590.500,33/04,C
314,3206.823,6371.613,4590.500,18/04,C
315,3968.718,5786.863,3945.500,13/03,M1
316,4131.625,4636.821,4260.500,04/01,A
317,4733.169,5516.287,4260.500,34/04,A
318,3996.473,5788.375,3945.500,13/04,M1
319,4607.522,5148.900,4260.500,28/03,M4B
320,3398.572,5113.324,4005.500,06/02,M4B
321,3369.841,5003.753,4020.500,04/06,A
322,4470.200,6203.011,4275.500,02/04,A
323,3807.827,5783.261,3945.500,09/04,M1
324,3991.705,5626.581,3960.500,23/05,M1
325,3148.388,4881.729,4035.500,15/05,M4B
326,3331.375,4981.089,4020.500,04/04,M4B
327,4073.001,5442.687,3885.500,11/09,M1
328,3115.433,6193.404,4560.500,14/02,A
329,4100.097,5399.309,3885.500,11/10,M1
330,4751.739,5386.154,4260.500,21/03,A
331,3242.711,5153.708,4050.500,02/01,C
332,3590.481,5552.473,3960.500,06/02,M4B
333,4514.572,5957.137,4260.500,12/02,A
334,2985.462,6181.124,4560.500,18/02,C
335,3653.210,5274.387,3975.500,06/02,A
336,4878.068,5603.475,4275.500,45/01,C
337,3239.912,4621.234,4155.500,27/03,A
338,4021.758,5509.048,3885.500,11/07,A
339,3685.662,5304.985,3960.500,27/05,A
340,3558.550,5551.598,3960.500,06/03,A
341,3272.109,5156.626,4065.500,05/03,C
342,3180.646,4922.251,4035.500,12/08,M2A
343,3854.798,5576.266,3945.500,10/06,M4B
344,3885.091,5757.659,3945.500,06/06,M1
345,3594.854,5315.037,3975.500,03/05,M1
346,4522.742,6130.604,4275.500,02/02,C
347,4559.334,5304.575,4260.500,26/02,M4B
348,3763.256,5544.317,3945.500,10/07,M1
349,3149.977,4628.064,4155.500,28/02,A
350,3357.949,5032.874,4020.500,04/08,M4B
351,4460.070,6160.516,4275.500,02/02,C
352,4107.736,6261.542,4290.500,20/04,B
353,4617.286,5198.124,4260.500,28/02,M2A
